age,stage,tag,obs,flags,createdAt,gender,weight,collect_id,thing_id,woolLevel,score
0.0,2,3059,,['Dorper'],1734523915410,1,9.0,OXlA4HTt69EhKln64Cjz,3MCGfaqaB9KKADZsuSzV,,
0.0,2,3066,,['Dorper'],1734523765802,0,14.0,OXlA4HTt69EhKln64Cjz,3TvBldZof48yTOSajuTq,,
0.0,2,3049,,['Dorper'],1734525432144,0,22.0,OXlA4HTt69EhKln64Cjz,FdQcHi0XX5bahIiYifTJ,,
0.0,2,3031,,['Dorper'],1734525508105,0,23.0,OXlA4HTt69EhKln64Cjz,HMaF69ARbex4bX6c9PUx,,
0.0,2,3039,,['Dorper'],1734524351062,1,14.0,OXlA4HTt69EhKln64Cjz,J3cT9zyvUfuJNLFuyyZv,,
0.0,2,3040,,['Dorper'],1734523856870,1,6.0,OXlA4HTt69EhKln64Cjz,NvgU1KcCQkP3tWV5Z2Ji,,
0.0,2,3034,,['Dorper'],1734523977975,0,15.0,OXlA4HTt69EhKln64Cjz,ORz3rpiMLVjolqVJ5Mh6,,
0.0,2,3036,,['Dorper'],1734524022373,0,12.0,OXlA4HTt69EhKln64Cjz,d8HyuxDE0pjRDpotdeJq,,
0.0,2,3067,,['Dorper'],1734524179914,1,8.0,OXlA4HTt69EhKln64Cjz,tAHbMTxpItGcAQPQwRrd,,
0.0,2,3047,,['Dorper'],1734525482904,0,16.0,OXlA4HTt69EhKln64Cjz,tKuHM8iPXRhPHwqrux8o,,
0.0,2,3078,,['Dorper'],1734524108691,1,13.0,OXlA4HTt69EhKln64Cjz,wGMUohwzviHPmO9z4urg,,
,2,0200,,"['Santa Inês', 'Dorper']",1737890713646,1,42.2,UYb4dOtZoiguKcF7SK69,021IK4BJ2GltxzphIRtY,0.0,4.0
,0,905,,"['Santa Inês', 'Dorper']",1737890107918,1,26.5,UYb4dOtZoiguKcF7SK69,1ZyYYje6YoTxcnkbIbh7,1.0,3.0
,0,0181,,"['Santa Inês', 'Dorper']",1737889590114,1,37.05,UYb4dOtZoiguKcF7SK69,2DQ80NmEWiE3fOyHdgvB,2.0,3.0
,0,0276,,"['Santa Inês', 'Dorper']",1737889386246,1,48.8,UYb4dOtZoiguKcF7SK69,38ykN7bhYXzaE7ebrmdl,2.0,2.0
,0,0797,,"['Santa Inês', 'Dorper']",1737889678826,1,30.15,UYb4dOtZoiguKcF7SK69,3VWP1CJvKsr6TUIxvtoL,,3.0
,2,0265,,['Santa Inês'],1737889646044,1,53.65,UYb4dOtZoiguKcF7SK69,4HV3xs0i0TW3luSfzXYC,2.0,2.0
,2,0013,,"['Santa Inês', 'Dorper']",1737888823160,1,30.7,UYb4dOtZoiguKcF7SK69,4VVduhuUTmpx3gEC5Rir,0.0,3.0
,0,0067,,"['Santa Inês', 'Dorper']",1737889154352,1,52.95,UYb4dOtZoiguKcF7SK69,4bMmbn9JqKNPe9XAQBwt,2.0,3.0
,2,963,,"['Santa Inês', 'Dorper']",1737889845118,1,33.6,UYb4dOtZoiguKcF7SK69,50xh6D7LBGadWaZkTrFj,2.0,4.0
,0,0450,,"['Santa Inês', 'Dorper']",1737891483854,1,34.55,UYb4dOtZoiguKcF7SK69,6AMtiyKWUcno9zrAZgtd,2.0,2.0
,0,951,,"['Santa Inês', 'Dorper']",1737890494692,1,26.3,UYb4dOtZoiguKcF7SK69,6Nr9hWob30YxmDY6zGs5,2.0,3.0
,2,796,,"['Santa Inês', 'Dorper']",1737891147768,1,38.55,UYb4dOtZoiguKcF7SK69,7zwr9US7A5THB053bhAB,2.0,4.0
,0,0127,,"['Santa Inês', 'Dorper']",1737891438112,1,44.9,UYb4dOtZoiguKcF7SK69,9gNHeR4sbD4R77mP0ZO9,1.0,2.0
,2,002,,"['Santa Inês', 'Dorper']",1737888917739,1,46.8,UYb4dOtZoiguKcF7SK69,Ab2zgcGrTLWr1TAd5mY3,,3.0
,2,919,,"['Santa Inês', 'Dorper']",1737891607208,1,34.5,UYb4dOtZoiguKcF7SK69,AhSR4roP4QDZ20kPbuYf,1.0,3.0
,2,918,,"['Santa Inês', 'Dorper']",1737891254003,1,33.45,UYb4dOtZoiguKcF7SK69,Ahk7H4mnwdaJbN1FCxdR,2.0,3.0
,0,0269,,['Santa Inês'],1737888957664,1,47.7,UYb4dOtZoiguKcF7SK69,BCJ5YDIRLPg2YG4C55j7,0.0,3.0
,0,0042,,"['Santa Inês', 'Dorper']",1737890267480,1,40.25,UYb4dOtZoiguKcF7SK69,CXCx4ecb5daQq1bYN20K,2.0,2.0
,2,0037,,"['Berganês', 'Santa Inês']",1737889224625,1,39.4,UYb4dOtZoiguKcF7SK69,EMF1Pp9u6P6s5ttWKQO8,0.0,3.0
,0,0180,,"['Santa Inês', 'Dorper']",1737890452165,1,36.7,UYb4dOtZoiguKcF7SK69,FJTwwRRneP5YAR1SoCc9,2.0,3.0
,0,0187,,['Santa Inês'],1737890974460,1,36.95,UYb4dOtZoiguKcF7SK69,GdBXy670cMZVenxx19Xy,0.0,4.0
,2,970,,"['Santa Inês', 'Dorper']",1737890240194,1,32.3,UYb4dOtZoiguKcF7SK69,GkA0oi5FvGWWr0y5wyAI,1.0,3.0
,2,943,,"['Santa Inês', 'Dorper']",1737890206197,1,27.3,UYb4dOtZoiguKcF7SK69,GuTDJcCQEX4vPQFYzYJT,1.0,4.0
,2,903,,"['Santa Inês', 'Dorper']",1737890928515,1,35.55,UYb4dOtZoiguKcF7SK69,He5mbbefFwT6UNaupcqW,1.0,4.0
,0,0189,,"['Santa Inês', 'Dorper']",1737890143756,1,37.8,UYb4dOtZoiguKcF7SK69,HoCuEwLVziLK2Fji5U5I,2.0,3.0
,2,0954,,"['Santa Inês', 'Dorper']",1737889461164,1,25.25,UYb4dOtZoiguKcF7SK69,KjCHeZr1MV7dUg3sCPqA,0.0,4.0
,0,001,,"['Santa Inês', 'Dorper']",1737891748592,0,73.85,UYb4dOtZoiguKcF7SK69,LiBei4OSwgKLcbrlAJLe,2.0,3.0
,0,0455,,"['Santa Inês', 'Dorper']",1737889494592,1,35.6,UYb4dOtZoiguKcF7SK69,MQRjNpPAiqvVqZkquVkO,0.0,2.0
,0,0244,,"['Santa Inês', 'Dorper']",1737891358429,1,43.85,UYb4dOtZoiguKcF7SK69,NMSYPxZTTqaJKav6L1Z2,2.0,2.0
,2,0262,,"['Santa Inês', 'Dorper']",1737888767970,1,51.95,UYb4dOtZoiguKcF7SK69,OXkEYT36NMADvZaMMGn8,1.0,2.0
,2,0460,,"['Santa Inês', 'Dorper']",1737891204787,1,63.0,UYb4dOtZoiguKcF7SK69,Pr177F31aymuli7KnCo1,1.0,4.0
,0,0048,,"['Santa Inês', 'Dorper']",1737889876754,1,33.8,UYb4dOtZoiguKcF7SK69,Qz8WMq24T8EjJu3droGG,1.0,2.0
,0,0171,,"['Santa Inês', 'Dorper']",1737891529097,1,43.7,UYb4dOtZoiguKcF7SK69,REUvVzT9dFPxCaVIIrrz,0.0,2.0
,0,0293,,"['Santa Inês', 'Dorper']",1737890430051,1,41.2,UYb4dOtZoiguKcF7SK69,RUUMwIrAlCikduQtn1Ex,2.0,3.0
,2,0910,,"['Santa Inês', 'Dorper']",1737889765182,1,31.0,UYb4dOtZoiguKcF7SK69,RWozxLdewgTzhLytPWzQ,2.0,3.0
,0,965,,"['Santa Inês', 'Dorper']",1737891325694,1,27.5,UYb4dOtZoiguKcF7SK69,SdQpPvOSKbEGytgK5BB5,1.0,3.0
,2,0050,,"['Santa Inês', 'Dorper']",1737891289953,1,33.35,UYb4dOtZoiguKcF7SK69,U2XLE8n90tGoBEWKHPrJ,1.0,2.0
,0,912,,"['Santa Inês', 'Dorper']",1737889987301,1,29.1,UYb4dOtZoiguKcF7SK69,XPoXIdZTkysZBTUUs8EL,0.0,3.0
,2,0215,,"['Santa Inês', 'Dorper']",1737889542048,1,33.8,UYb4dOtZoiguKcF7SK69,Xbjwh8OnimL2PQ1cfLcJ,2.0,3.0
,2,741,,['Santa Inês'],1737889801513,1,35.5,UYb4dOtZoiguKcF7SK69,XecbJUsqfMdhylN9te3O,0.0,3.0
,2,0217,,"['Santa Inês', 'Dorper']",1737890742347,1,43.5,UYb4dOtZoiguKcF7SK69,YgPycFntLEKmrvMhfsZ1,2.0,2.0
,0,0439,,"['Santa Inês', 'Dorper']",1737888867157,1,4.1,UYb4dOtZoiguKcF7SK69,ZQO5lHXsG52hnvIDFune,2.0,2.0
,2,0197,,"['Santa Inês', 'Dorper']",1737889010124,1,43.8,UYb4dOtZoiguKcF7SK69,ZjLmy34arScldX4918cB,1.0,2.0
,2,946,,"['Santa Inês', 'Dorper']",1737891106074,1,31.95,UYb4dOtZoiguKcF7SK69,Zv2lIKCAaNOKNYxGFBrO,1.0,3.0
,0,727,,"['Santa Inês', 'Dorper']",1737890174333,1,28.35,UYb4dOtZoiguKcF7SK69,aeaFb1xHfd8w4Sfa8R0Z,2.0,2.0
,0,906,,"['Santa Inês', 'Dorper']",1737890303964,1,23.6,UYb4dOtZoiguKcF7SK69,agyD5QmStmPBzqNoc3YN,0.0,2.0
,2,0278,,"['Santa Inês', 'Dorper']",1737889050143,1,38.85,UYb4dOtZoiguKcF7SK69,bUtJhWnsRz95tbaDaomL,1.0,3.0
,2,0210,,"['Santa Inês', 'Dorper']",1737889097142,1,43.55,UYb4dOtZoiguKcF7SK69,bYHjUprw22BUifnf4ppR,0.0,3.0
,0,928,,"['Santa Inês', 'Dorper']",1737890589963,1,26.25,UYb4dOtZoiguKcF7SK69,eXJfABpFkBPzn7OzKIKs,1.0,3.0
,0,0178,,"['Santa Inês', 'Dorper']",1737890029864,1,39.25,UYb4dOtZoiguKcF7SK69,enWrCN1EMgWu2KvAJLXk,1.0,3.0
,0,0248,,"['Santa Inês', 'Dorper']",1737889271460,1,50.3,UYb4dOtZoiguKcF7SK69,fUqpMUXmyR589xyxHsBr,2.0,3.0
,0,0246,,"['Santa Inês', 'Dorper']",1737890999437,1,43.1,UYb4dOtZoiguKcF7SK69,g4pHUmjPWKy4PQhbBEmj,1.0,2.0
,0,0193,,"['Santa Inês', 'Dorper']",1737890847198,1,42.05,UYb4dOtZoiguKcF7SK69,mzaD5Tt45nmJizZaqcTo,2.0,3.0
,0,0459,,"['Santa Inês', 'Dorper']",1737889423007,1,48.2,UYb4dOtZoiguKcF7SK69,n83r4nm5kuSfGcNZ83Rj,1.0,3.0
,0,0271,,"['Santa Inês', 'Dorper']",1737890075106,1,39.9,UYb4dOtZoiguKcF7SK69,ncUaU5GY9uf0ERm2rQwb,0.0,3.0
,2,0247,,"['Santa Inês', 'Dorper']",1737889309816,1,46.2,UYb4dOtZoiguKcF7SK69,oi4lJkkMf8lv4T5RevB5,2.0,3.0
,2,955,,"['Santa Inês', 'Dorper']",1737890526946,1,32.35,UYb4dOtZoiguKcF7SK69,plT4BAJnzRP7ithoA69m,1.0,3.0
,2,792,,"['Santa Inês', 'Dorper']",1737891401735,1,26.95,UYb4dOtZoiguKcF7SK69,pzg54IPMOkRodKUMXEZD,0.0,3.0
,0,0144,,"['Santa Inês', 'Dorper']",1737890335748,1,45.95,UYb4dOtZoiguKcF7SK69,qEnYa3sAYY3mTcopsC6O,1.0,2.0
,0,0272,,"['Santa Inês', 'Dorper']",1737889931821,1,46.7,UYb4dOtZoiguKcF7SK69,r6Imju96rZz93mkbaro1,2.0,2.0
,2,909,,"['Santa Inês', 'Dorper']",1737890375336,1,24.8,UYb4dOtZoiguKcF7SK69,rUczda4wQzhUncdK1sJD,1.0,4.0
,2,0021,,"['Santa Inês', 'Dorper']",1737891562403,1,35.55,UYb4dOtZoiguKcF7SK69,razloU8hxZK1z5eI9eSo,0.0,2.0
,0,0793,,"['Santa Inês', 'Dorper']",1737889716511,1,24.9,UYb4dOtZoiguKcF7SK69,tsDtB2Ex3pDo5um6aJcB,2.0,2.0
,2,0214,,"['Santa Inês', 'Dorper']",1737891057377,1,50.05,UYb4dOtZoiguKcF7SK69,u5l1yWJKrYEGQ4wVOLAT,1.0,1.0
,2,0057,,"['Santa Inês', 'Dorper']",1737888707550,1,42.5,UYb4dOtZoiguKcF7SK69,vT37YfkHt1OCxqO67z0v,0.0,2.0
,0,0282,,"['Santa Inês', 'Dorper']",1737890670291,1,41.8,UYb4dOtZoiguKcF7SK69,w2raVQrfxE35kYMZJ1S2,2.0,2.0
,0,0025,,"['Santa Inês', 'Dorper']",1737890892889,1,49.15,UYb4dOtZoiguKcF7SK69,wY6zSiXyrP0DZ28THc0O,1.0,3.0
,0,0191,,"['Santa Inês', 'Dorper']",1737889346947,1,36.75,UYb4dOtZoiguKcF7SK69,xXvbtydhv49zRtEN3TGX,2.0,2.0
,2,937,,"['Santa Inês', 'Dorper']",1737890793546,1,25.75,UYb4dOtZoiguKcF7SK69,ymHYx0I1jLWb9xWA0g9n,1.0,3.0
4.0,2,5127,,['Dorper'],1731156879800,1,47.0,dZFVs4MkQa1py9r9Nguj,A1hBJRtK00cm5GCBlKGr,,
2.0,2,0466,,['Dorper'],1731157035574,1,30.0,dZFVs4MkQa1py9r9Nguj,FUEeItRvrI0KncjGPcqF,,
1.0,2,2632,,['Dorper'],1731155461407,0,44.0,dZFVs4MkQa1py9r9Nguj,IfX6PRnSe1CNqmbC8EiW,,
4.0,2,8213,,['Dorper'],1731155417076,0,66.0,dZFVs4MkQa1py9r9Nguj,Il4H474ihUCLTpKEixn5,,
0.0,2,3066,,['Dorper'],1731157644417,0,10.0,dZFVs4MkQa1py9r9Nguj,Im2WnPrdFtb8gSLX1AQY,,
0.0,2,3039,,['Dorper'],1731157820293,1,12.0,dZFVs4MkQa1py9r9Nguj,NlXYLpogjgxiVacuPieo,,
4.0,2,2512,la somente em cima,['Dorper'],1731154910058,0,65.0,dZFVs4MkQa1py9r9Nguj,PzBYpJ5UCzPPVqmEMdEb,,
4.0,2,5003,,['Dorper'],1731156235851,1,35.0,dZFVs4MkQa1py9r9Nguj,Qus670Ydh4s4OFWy86Cf,,
4.0,2,0201,,['Dorper'],1731154759095,0,62.0,dZFVs4MkQa1py9r9Nguj,TCaWHvEyC8Plyb7kfi42,,
4.0,2,8316,,['Dorper'],1731154775941,0,65.0,dZFVs4MkQa1py9r9Nguj,Vax9kyixADu9fgJXVUNX,,
4.0,2,5092,,['Dorper'],1731154663406,0,43.0,dZFVs4MkQa1py9r9Nguj,WfzlaU0lPHkmyJ0CMEIV,,
4.0,2,6014,,['Dorper'],1731154710078,0,56.0,dZFVs4MkQa1py9r9Nguj,WzffTS3ZVfLPsQKeRjgg,,
4.0,2,7901,,['Dorper'],1731156646494,1,60.0,dZFVs4MkQa1py9r9Nguj,Z3VrGowJ9z5NkFQwqmqG,,
0.0,2,3067,,['Dorper'],1731157545524,1,8.0,dZFVs4MkQa1py9r9Nguj,aeGATTBOP6uFj3V4j9gi,,
4.0,2,9470,,['Dorper'],1731154617962,0,63.0,dZFVs4MkQa1py9r9Nguj,cKgD9fg4uiB4yv0WI49j,,
4.0,2,6603,,['Dorper'],1731155438440,0,52.0,dZFVs4MkQa1py9r9Nguj,dmA389EHDN7XxCbwALTL,,
4.0,2,4893,,['Dorper'],1731156590512,1,56.0,dZFVs4MkQa1py9r9Nguj,eGKuxcsk3UqbOaloxtXR,,
0.0,2,3078,,['Dorper'],1731157695569,1,12.0,dZFVs4MkQa1py9r9Nguj,gqkGycXIRBsM1tWCLMBh,,
0.0,2,3058,,['Dorper'],1731157750103,0,9.0,dZFVs4MkQa1py9r9Nguj,pm1b9GB2WS3tPM3D50T9,,
4.0,2,4897,,['Dorper'],1731156756467,1,50.0,dZFVs4MkQa1py9r9Nguj,tO7oMBfqJlN1pxUlr6YR,,
4.0,2,5080,,['Dorper'],1731156347841,1,49.0,dZFVs4MkQa1py9r9Nguj,txVx4AtRCv2vyXhUW7PJ,,
4.0,2,5126,,['Dorper'],1731156487018,1,45.0,dZFVs4MkQa1py9r9Nguj,tyZCjtGaIPt7F3lrIB0o,,
4.0,2,2640,,['Dorper'],1731154636979,0,43.0,dZFVs4MkQa1py9r9Nguj,u1T2Jrju9VZQJKGG23qF,,
,2,1001,,['Dorper'],1737803648662,0,7.7,of8VwxX9TG1PMJhhx8kf,0H0P02DmDniAyI9krMhA,0.0,5.0
,2,0472,,"['Santa Inês', 'Dorper']",1737804798039,1,41.7,of8VwxX9TG1PMJhhx8kf,0ZwJ8fjJa9TowXrYWhEE,0.0,3.0
,2,0253,,"['Santa Inês', 'Dorper']",1737808790453,1,53.65,of8VwxX9TG1PMJhhx8kf,1blNoXOaGTVs8uJGMp52,1.0,3.0
,2,995,,"['Santa Inês', 'Dorper']",1737807393947,0,15.2,of8VwxX9TG1PMJhhx8kf,29zbjwAwT72WxaM2NJKf,0.0,5.0
,2,0024,,"['Santa Inês', 'Dorper']",1737805764359,1,41.15,of8VwxX9TG1PMJhhx8kf,2ttYmLWSz3gTJr7nWhqH,2.0,2.0
,2,0074,,"['Santa Inês', 'Dorper']",1737805120831,1,47.9,of8VwxX9TG1PMJhhx8kf,3QhziFI8oXXGiVzmqQWR,1.0,2.0
,2,0170,,"['Santa Inês', 'Dorper']",1737808660634,1,29.7,of8VwxX9TG1PMJhhx8kf,4rOgL6t7xvsBFUATrcm2,2.0,2.0
,2,998,,['Dorper'],1737803881582,0,13.2,of8VwxX9TG1PMJhhx8kf,5VeOdWjppG9Ul9U8AV06,0.0,5.0
,2,1000,,['Dorper'],1737803283882,1,14.65,of8VwxX9TG1PMJhhx8kf,6yFm02gHgvVSCNtGt0Rw,0.0,5.0
,2,992,,['Dorper'],1737803615430,1,16.3,of8VwxX9TG1PMJhhx8kf,8YGvqGP1Gz5D2FBmBTYn,0.0,5.0
,2,510,,"['Santa Inês', 'Dorper']",1737807462584,0,10.65,of8VwxX9TG1PMJhhx8kf,8hAkdrg4RPbsGpBfpe7j,0.0,5.0
,2,1003,,"['Santa Inês', 'Dorper']",1737806833661,0,6.9,of8VwxX9TG1PMJhhx8kf,9wul9uFNqQTqALFhIB5O,0.0,5.0
,0,0142,,"['Santa Inês', 'Dorper']",1737809322638,1,44.3,of8VwxX9TG1PMJhhx8kf,BRFZvtuUBmbisZRoEMDH,1.0,3.0
,2,000742,,"['Santa Inês', 'Dorper']",1737804578034,1,44.95,of8VwxX9TG1PMJhhx8kf,C6q3et9Ucor3cQ6B5xm5,0.0,3.0
,2,509,,['Dorper'],1737804078424,0,8.85,of8VwxX9TG1PMJhhx8kf,DfDcxhzb813jbkSKTgpv,0.0,5.0
,2,0254,,"['Santa Inês', 'Dorper']",1737805999323,1,37.7,of8VwxX9TG1PMJhhx8kf,EH6uy6sLgeWH7DQCr6Fr,1.0,2.0
,2,0250,,"['Santa Inês', 'Dorper']",1737806062609,1,43.75,of8VwxX9TG1PMJhhx8kf,EfTkwboJhC7eO7mw8o3X,1.0,2.0
,2,972,,"['Santa Inês', 'Dorper']",1737815253055,0,17.75,of8VwxX9TG1PMJhhx8kf,FsJCmAd67TJ4KA9DUgg7,0.0,5.0
,2,0275,,['Dorper'],1737804711005,1,58.15,of8VwxX9TG1PMJhhx8kf,GWiCJzahIl62Pd1AwqiQ,2.0,4.0
,2,985,,"['Santa Inês', 'Dorper']",1737806977335,1,20.3,of8VwxX9TG1PMJhhx8kf,HRFbgX0KqvJH6IauCK13,0.0,5.0
,2,983,,"['Santa Inês', 'Dorper']",1737806779495,1,16.05,of8VwxX9TG1PMJhhx8kf,IxAJYjvmH7doey9dV7Sy,0.0,5.0
1.0,2,1002,,['Dorper'],1737803245833,0,4.25,of8VwxX9TG1PMJhhx8kf,JrhmccKhWLVpKadAskxU,0.0,
,2,0458,,"['Santa Inês', 'Dorper']",1737806357482,1,46.6,of8VwxX9TG1PMJhhx8kf,K8hCZ1UVuwyxjIxDC3mz,2.0,2.0
,2,997,,['Dorper'],1737803326553,0,14.0,of8VwxX9TG1PMJhhx8kf,K9QKYRo1klTQfDuj58rZ,0.0,5.0
,2,0101,,"['Santa Inês', 'Dorper']",1737809188339,1,46.65,of8VwxX9TG1PMJhhx8kf,KZPuy64rJMBsi15eiLIN,2.0,4.0
,2,0190,,"['Santa Inês', 'Dorper']",1737815041041,1,34.4,of8VwxX9TG1PMJhhx8kf,KjCXDNcDZEGqWev3368P,1.0,3.0
,2,990,,"['Santa Inês', 'Dorper']",1737807629465,0,29.65,of8VwxX9TG1PMJhhx8kf,LZ9Hm8tWex5D47nPWUX3,0.0,5.0
,2,0188,,"['Santa Inês', 'Dorper']",1737804502252,1,29.65,of8VwxX9TG1PMJhhx8kf,Li0PPmEE0mJx3e0fQyJ4,0.0,2.0
,2,0186,,"['Santa Inês', 'Dorper']",1737806272032,1,33.4,of8VwxX9TG1PMJhhx8kf,MbN7dWtPe2AhqfgAEUEX,1.0,2.0
,2,0128,,"['Santa Inês', 'Dorper']",1737808919316,1,35.0,of8VwxX9TG1PMJhhx8kf,NAmvD9ytvupDGxiV3C4a,2.0,3.0
,2,0029,,"['Santa Inês', 'Dorper']",1737809119498,1,32.9,of8VwxX9TG1PMJhhx8kf,NEHXaibrCbSlM83Gknee,2.0,3.0
,2,973,,"['Santa Inês', 'Dorper']",1737807526183,0,16.1,of8VwxX9TG1PMJhhx8kf,NOs7Rn6OQxLaeFKDU8n9,0.0,5.0
,2,0014,,"['Santa Inês', 'Dorper']",1737805465470,1,30.2,of8VwxX9TG1PMJhhx8kf,O5wPj3DHXhXi48GuPfD6,2.0,2.0
,2,974,,"['Santa Inês', 'Dorper']",1737807340939,1,17.65,of8VwxX9TG1PMJhhx8kf,P7lr2QvWOAP6JmUhu1tG,0.0,5.0
,2,0035,,"['Santa Inês', 'Dorper']",1737805840235,1,29.85,of8VwxX9TG1PMJhhx8kf,PE0t2BU9p9bjXYCqffyo,0.0,3.0
,2,982,,['Dorper'],1737803359936,1,17.9,of8VwxX9TG1PMJhhx8kf,POwChBmKnJiUjAdX3PFB,0.0,5.0
,2,504,,['Dorper'],1737803753608,1,15.45,of8VwxX9TG1PMJhhx8kf,QH27ENtcJ6sohqHAtTC7,0.0,5.0
,2,192,,"['Santa Inês', 'Dorper']",1737808219247,1,37.4,of8VwxX9TG1PMJhhx8kf,QsooLnBW8NgLKdekFF7F,1.0,2.0
,2,0438,,"['Santa Inês', 'Dorper']",1737806147936,1,38.7,of8VwxX9TG1PMJhhx8kf,RDm5bXLBvvSFQLJFk4qD,0.0,3.0
,2,977,,"['Santa Inês', 'Dorper']",1737807692425,0,20.35,of8VwxX9TG1PMJhhx8kf,RKg1niMHXUTAAv4Su0ZD,0.0,5.0
,2,975,,"['Santa Inês', 'Dorper']",1737806911105,0,18.2,of8VwxX9TG1PMJhhx8kf,SfCAdVVBlzveBsOAmKtf,0.0,5.0
,2,0468,,"['Santa Inês', 'Dorper']",1737805203506,1,40.5,of8VwxX9TG1PMJhhx8kf,ThIUfsQhpcxZBUn5tiGy,0.0,2.0
,2,505,,"['Santa Inês', 'Dorper']",1737807300665,1,12.3,of8VwxX9TG1PMJhhx8kf,TpeUbEpY3o5JWsRWaTJE,0.0,5.0
,2,989,,['Dorper'],1737803999988,0,20.9,of8VwxX9TG1PMJhhx8kf,U09AqtNKceRko0oaGjCz,0.0,5.0
,2,503,,['Dorper'],1737803401891,1,10.6,of8VwxX9TG1PMJhhx8kf,XJTW0u2gdh7iVCtR0x2V,0.0,5.0
,2,0047,,"['Santa Inês', 'Dorper']",1737809282926,1,44.75,of8VwxX9TG1PMJhhx8kf,Z4fUNm6iiq9A2rlLKU7i,2.0,4.0
,2,507,,"['Santa Inês', 'Dorper']",1737807121663,0,12.5,of8VwxX9TG1PMJhhx8kf,a79zHS4jx8S6fe1OYOEF,0.0,5.0
,2,1005,,"['Santa Inês', 'Dorper']",1737808133839,1,54.0,of8VwxX9TG1PMJhhx8kf,bgB3Qybk956QCogKgKZe,1.0,2.0
